Lemma_1,Lemma_2,Type,isCognate
вода,сыр,Неоднокоренные (разные корни),0
коса,зябь,Неоднокоренные (разные корни),0
любой,водитель,Неоднокоренные (разные корни),0
нож,красить,Неоднокоренные (разные корни),0
красивый,переносица,Неоднокоренные (разные корни),0
буря,любовник,Неоднокоренные (разные корни),0
лжец,сырок,Неоднокоренные (разные корни),0
красить,макать,Неоднокоренные (разные корни),0
краска,макнуть,Неоднокоренные (разные корни),0
выкрашенный,макнувший,Неоднокоренные (разные корни),0
покрашенный,промакивать,Неоднокоренные (разные корни),0
красивый,медовый,Неоднокоренные (разные корни),0
красавец,мед,Неоднокоренные (разные корни),0
полнота,коснуться,Неоднокоренные (разные корни),0
вытирать,прикосновение,Неоднокоренные (разные корни),0
любовь,соприкосновение,Неоднокоренные (разные корни),0
любить,коснуться,Неоднокоренные (разные корни),0
любовник,речка,Неоднокоренные (разные корни),0
полюбовно,речь,Неоднокоренные (разные корни),0
разлюбивший,изречение,Неоднокоренные (разные корни),0
бур,изречь,Неоднокоренные (разные корни),0
бурить,лето,Неоднокоренные (разные корни),0
терять,летчик,Неоднокоренные (разные корни),0
буря,летовать,Неоднокоренные (разные корни),0
нос,морской,Неоднокоренные (разные корни),0
носик,моряк,Неоднокоренные (разные корни),0
любовь,море,Неоднокоренные (разные корни),0
носатый,морской,Неоднокоренные (разные корни),0
носить,приморье,Неоднокоренные (разные корни),0
отсыреть,пар,Неоднокоренные (разные корни),0
выносить,парилка,Неоднокоренные (разные корни),0
относить,попарно,Неоднокоренные (разные корни),0
носильщик,парочка,Неоднокоренные (разные корни),0
гореть,спаривать,Неоднокоренные (разные корни),0
сгоревший,непарный,Неоднокоренные (разные корни),0
горевать,спаривание,Неоднокоренные (разные корни),0
горюющий,запах,Неоднокоренные (разные корни),0
горе,впахивать,Неоднокоренные (разные корни),0
горящий,запашок,Неоднокоренные (разные корни),0
плавание,вспахнутый,Неоднокоренные (разные корни),0
мир,пахучесть,Неоднокоренные (разные корни),0
нагар,полный ,Неоднокоренные (разные корни),0
примирение,заполнить,Неоднокоренные (разные корни),0
горный,полнота,Неоднокоренные (разные корни),0
умереть,перевыполнить,Неоднокоренные (разные корни),0
