,Lemma_1,Lemma_2,Type,isCognate
0,вода_NOUN,сыр_NOUN,Неоднокоренные (разные корни),0
1,коса_NOUN,зябь_NOUN,Неоднокоренные (разные корни),0
2,любой_ADJ,водитель_NOUN,Неоднокоренные (разные корни),0
3,нож_NOUN,красить_VERB,Неоднокоренные (разные корни),0
4,красивый_ADJ,переносица_NOUN,Неоднокоренные (разные корни),0
5,буря_NOUN,любовник_NOUN,Неоднокоренные (разные корни),0
6,лжец_NOUN,сырок_NOUN,Неоднокоренные (разные корни),0
7,красить_VERB,макать_VERB,Неоднокоренные (разные корни),0
8,краска_NOUN,макнуть_VERB,Неоднокоренные (разные корни),0
9,выкрасить_VERB,макнуть_VERB,Неоднокоренные (разные корни),0
10,покрасить_VERB,промакивать_VERB,Неоднокоренные (разные корни),0
11,красивый_ADJ,медовый_ADJ,Неоднокоренные (разные корни),0
12,красавец_NOUN,мед_NOUN,Неоднокоренные (разные корни),0
13,полнота_NOUN,касаться_VERB,Неоднокоренные (разные корни),0
14,вытирать_VERB,прикосновение_NOUN,Неоднокоренные (разные корни),0
15,любовь_NOUN,соприкосновение_NOUN,Неоднокоренные (разные корни),0
16,любить_VERB,касаться_VERB,Неоднокоренные (разные корни),0
17,любовник_NOUN,речка_NOUN,Неоднокоренные (разные корни),0
18,полюбовно_ADV,речь_NOUN,Неоднокоренные (разные корни),0
19,разлюблять_VERB,изречение_NOUN,Неоднокоренные (разные корни),0
20,бур_NOUN,изрекать_VERB,Неоднокоренные (разные корни),0
21,бурить_VERB,лето_NOUN,Неоднокоренные (разные корни),0
22,терять_VERB,летчик_NOUN,Неоднокоренные (разные корни),0
23,буря_NOUN,летовать_VERB,Неоднокоренные (разные корни),0
24,нос_NOUN,морской_ADJ,Неоднокоренные (разные корни),0
25,носик_NOUN,моряк_NOUN,Неоднокоренные (разные корни),0
26,любовь_NOUN,море_NOUN,Неоднокоренные (разные корни),0
27,носатый_ADJ,морской_ADJ,Неоднокоренные (разные корни),0
28,носить_VERB,приморье_NOUN,Неоднокоренные (разные корни),0
29,отсыревать_VERB,пар_NOUN,Неоднокоренные (разные корни),0
30,выносить_VERB,парилка_NOUN,Неоднокоренные (разные корни),0
31,относить_VERB,попарно_ADV,Неоднокоренные (разные корни),0
32,носильщик_NOUN,парочка_NOUN,Неоднокоренные (разные корни),0
33,гореть_VERB,спаривать_VERB,Неоднокоренные (разные корни),0
34,сгорать_VERB,непарный_ADJ,Неоднокоренные (разные корни),0
35,горевать_VERB,спаривание_NOUN,Неоднокоренные (разные корни),0
36,горевать_VERB,запах_NOUN,Неоднокоренные (разные корни),0
37,горе_NOUN,впахивать_VERB,Неоднокоренные (разные корни),0
38,гореть_VERB,запашок_NOUN,Неоднокоренные (разные корни),0
39,плавание_NOUN,вспахнуть_VERB,Неоднокоренные (разные корни),0
40,мир_NOUN,пахучесть_NOUN,Неоднокоренные (разные корни),0
41,нагар_NOUN,полный_ADJ,Неоднокоренные (разные корни),0
42,примирение_NOUN,заполнять_VERB,Неоднокоренные (разные корни),0
43,горный_ADJ,полнота_NOUN,Неоднокоренные (разные корни),0
44,умирать_VERB,перевыполнять_VERB,Неоднокоренные (разные корни),0
45,дорожный_ADJ,исполнять_VERB,Неоднокоренные (разные корни),0
46,придорожный_ADJ,переполненный_ADJ,Неоднокоренные (разные корни),0
47,дорогой_ADJ,красный_ADJ,Неоднокоренные (разные корни),0
48,вымирать_VERB,покрасить_VERB,Неоднокоренные (разные корни),0
49,ножны_NOUN,покраснение_NOUN,Неоднокоренные (разные корни),0
50,ножка_NOUN,краснеть_VERB,Неоднокоренные (разные корни),0
51,полагать_VERB,краска_NOUN,Неоднокоренные (разные корни),0
52,выкладывать_VERB,краснуха_NOUN,Неоднокоренные (разные корни),0
53,ложь_NOUN,покраснение_NOUN,Неоднокоренные (разные корни),0
54,лгать_VERB,пах_NOUN,Неоднокоренные (разные корни),0
55,тереть_VERB,пахучесть_NOUN,Неоднокоренные (разные корни),0
56,истертый_ADJ,пахота_NOUN,Неоднокоренные (разные корни),0
57,умирать_VERB,плавать_VERB,Неоднокоренные (разные корни),0
58,дорогой_ADJ,плавание_NOUN,Неоднокоренные (разные корни),0
59,умирающий_NOUN,пловец_NOUN,Неоднокоренные (разные корни),0
