Lemma_1,Lemma_2,isCognate
вода_NOUN,сыр_NOUN,0
коса_NOUN,зябь_NOUN,0
любой_ADJ,водитель_NOUN,0
нож_NOUN,красить_VERB,0
красивый_ADJ,переносица_NOUN,0
буря_NOUN,любовник_NOUN,0
лжец_NOUN,сырок_NOUN,0
красить_VERB,макать_VERB,0
краска_NOUN,макнуть_VERB,0
выкрасить_VERB,макнуть_VERB,0
покрасить_VERB,промакивать_VERB,0
красивый_ADJ,медовый_ADJ,0
красавец_NOUN,мед_NOUN,0
полнота_NOUN,касаться_VERB,0
вытирать_VERB,прикосновение_NOUN,0
любовь_NOUN,соприкосновение_NOUN,0
любить_VERB,касаться_VERB,0
любовник_NOUN,речка_NOUN,0
полюбовно_ADV,речь_NOUN,0
разлюблять_VERB,изречение_NOUN,0
бур_NOUN,изрекать_VERB,0
бурить_VERB,лето_NOUN,0
терять_VERB,летчик_NOUN,0
буря_NOUN,летовать_VERB,0
нос_NOUN,морской_ADJ,0
носик_NOUN,моряк_NOUN,0
любовь_NOUN,море_NOUN,0
носатый_ADJ,морской_ADJ,0
носить_VERB,приморье_NOUN,0
отсыревать_VERB,пар_NOUN,0
выносить_VERB,парилка_NOUN,0
относить_VERB,попарно_ADV,0
носильщик_NOUN,парочка_NOUN,0
гореть_VERB,спаривать_VERB,0
сгорать_VERB,непарный_ADJ,0
горевать_VERB,спаривание_NOUN,0
горевать_VERB,запах_NOUN,0
горе_NOUN,впахивать_VERB,0
гореть_VERB,запашок_NOUN,0
плавание_NOUN,вспахнуть_VERB,0
мир_NOUN,пахучесть_NOUN,0
нагар_NOUN,полный_ADJ,0
примирение_NOUN,заполнять_VERB,0
горный_ADJ,полнота_NOUN,0
умирать_VERB,перевыполнять_VERB,0
дорожный_ADJ,исполнять_VERB,0
придорожный_ADJ,переполненный_ADJ,0
дорогой_ADJ,красный_ADJ,0
вымирать_VERB,покрасить_VERB,0
ножны_NOUN,покраснение_NOUN,0
ножка_NOUN,краснеть_VERB,0
полагать_VERB,краска_NOUN,0
выкладывать_VERB,краснуха_NOUN,0
ложь_NOUN,покраснение_NOUN,0
лгать_VERB,пах_NOUN,0
тереть_VERB,пахучесть_NOUN,0
истертый_ADJ,пахота_NOUN,0
умирать_VERB,плавать_VERB,0
дорогой_ADJ,плавание_NOUN,0
умирающий_NOUN,пловец_NOUN,0
помирать_VERB,переплавлять_VERB,0
вымирать_VERB,плавление_NOUN,0
дорогой_ADJ,выплавка_NOUN,0
дорога_NOUN,бурить_VERB,0
подорожать_VERB,бурный_ADJ,0
потеря_NOUN,переносица_NOUN,0
терять_VERB,носатый_ADJ,0
нога_NOUN,носик_NOUN,0
безногий_ADJ,переносица_NOUN,0
ложь_NOUN,носильщик_NOUN,0
ложь_NOUN,переносок_NOUN,0
лжец_NOUN,носильщик_NOUN,0
вскакивать_VERB,переносной_ADJ,0
выскакать_VERB,переносной_ADJ,0
перескакивать_VERB,гореть_VERB,0
подскакивать_VERB,гореть_VERB,0
отскакивать_VERB,горе_NOUN,0
ускакивать_VERB,горевать_VERB,0
проскакивать_VERB,горевать_VERB,0
прискакивать_VERB,горный_ADJ,0
обскакивать_VERB,пригорок_NOUN,0
приклонять_VERB,мирный_ADJ,0
склонение_NOUN,мировой_ADJ,0
поклон_NOUN,мир_NOUN,0
клонить_VERB,умирающий_NOUN,0
распахиваться_VERB,умерший_NOUN,0
распахивать_VERB,подорожник_NOUN,0
бегать_VERB,подорожник_NOUN,0
разбегаться_VERB,дорого_ADV,0
бежать_VERB,ножевой_ADJ,0
перебегать_VERB,ножны_NOUN,0
разбегаться_VERB,ножевой_ADJ,0
перебегать_VERB,ножной_ADJ,0
бежать_VERB,откладывать_VERB,0
гореть_VERB,откладывать_VERB,0
горелый_ADJ,ложный_ADJ,0
загорать_VERB,лгун_NOUN,0
огарок_NOUN,потертый_ADJ,0
разгар_NOUN,вытирать_VERB,0
угар_NOUN,дорогой_ADJ,0
выгорание_NOUN,ножка_NOUN,0
вода_NOUN,водить_VERB,0
водный_ADJ,водитель_NOUN,0
приводняться_VERB,водительский_ADJ,0
подводный_ADJ,водить_VERB,0
водяной_ADJ,водительский_ADJ,0
вода_NOUN,водитель_NOUN,0
сыр_NOUN,сырость_NOUN,0
сырный_ADJ,сырой_ADJ,0
сырок_NOUN,отсыревать_VERB,0
сыр_NOUN,сырой_ADJ,0
сырный_ADJ,отсыревать_VERB,0
сырок_NOUN,сырость_NOUN,0
зябь_NOUN,озябнуть_VERB,0
зябь_NOUN,зябко_ADV,0
зябь_NOUN,озябнуть_VERB,0
красить_VERB,красивый_ADJ,0
краска_NOUN,красота_NOUN,0
окрашивать_VERB,красавица_NOUN,0
покрасить_VERB,красавец_NOUN,0
